track_id, year, month, day, hour, i, lon, lat, slp, wind
2, 2000, 5, 3, 6, 28207940, 167.061899, 28.834460, 9.677231e+04, 5.036118e+01
2, 2000, 5, 3, 12, 26794213, 168.681283, 30.437919, 9.762874e+04, 4.071949e+01
2, 2000, 5, 3, 18, 19354659, 170.710859, 31.906984, 9.850395e+04, 3.337377e+01
2, 2000, 5, 4, 0, 5153269, 172.846801, 33.832746, 9.894189e+04, 3.014545e+01
2, 2000, 5, 4, 6, 6593764, 175.157490, 35.367271, 9.905055e+04, 3.585603e+01
2, 2000, 5, 4, 12, 11010801, 177.306501, 37.588327, 9.879895e+04, 3.203988e+01
2, 2000, 5, 4, 18, 25137126, 179.278902, 39.689455, 9.776112e+04, 3.642203e+01
2, 2000, 5, 5, 0, 13159868, 182.865238, 41.352518, 9.709036e+04, 3.555841e+01
2, 2000, 5, 5, 6, 24418260, 187.322063, 42.790753, 9.690550e+04, 3.130055e+01
3, 2000, 5, 1, 6, 17558686, 339.303578, 17.382471, 9.695299e+04, 4.320121e+01
3, 2000, 5, 1, 12, 6931413, 338.835603, 17.850682, 9.689318e+04, 4.251839e+01
3, 2000, 5, 1, 18, 25668015, 337.898901, 18.339869, 9.752447e+04, 4.035946e+01
3, 2000, 5, 2, 0, 12442296, 336.968042, 18.649357, 9.835381e+04, 3.299487e+01
3, 2000, 5, 2, 6, 27623931, 336.026005, 19.195470, 9.867034e+04, 3.377888e+01
3, 2000, 5, 2, 12, 21010104, 335.077202, 19.732424, 9.895273e+04, 3.689296e+01
3, 2000, 5, 2, 18, 712686, 334.350154, 20.441400, 9.868083e+04, 3.519390e+01
3, 2000, 5, 3, 0, 16242646, 333.083794, 20.937537, 9.902188e+04, 3.497429e+01
3, 2000, 5, 3, 6, 27133179, 332.399998, 21.515709, 9.951239e+04, 2.627547e+01
3, 2000, 5, 3, 12, 4837329, 331.786507, 22.297379, 9.991016e+04, 2.148244e+01
3, 2000, 5, 3, 18, 13571012, 331.440831, 23.097520, 9.986356e+04, 2.220692e+01
3, 2000, 5, 4, 0, 24039582, 331.311353, 24.132578, 1.000894e+05, 2.206193e+01
3, 2000, 5, 4, 6, 7299122, 331.566060, 25.930142, 9.986092e+04, 2.611168e+01
3, 2000, 5, 4, 12, 21735966, 333.032148, 28.681234, 9.948534e+04, 3.341881e+01
3, 2000, 5, 4, 18, 27837889, 334.464911, 31.236637, 9.826681e+04, 3.918022e+01
3, 2000, 5, 5, 0, 547535, 335.829270, 33.988398, 9.843953e+04, 3.239620e+01
4, 2000, 5, 1, 6, 19876171, 352.500325, 9.788034, 9.975152e+04, 2.851298e+01
4, 2000, 5, 1, 12, 7710962, 352.171150, 9.605920, 9.958313e+04, 2.960820e+01
4, 2000, 5, 1, 18, 7710848, 351.988685, 9.336821, 9.974674e+04, 2.408466e+01
4, 2000, 5, 2, 0, 26128009, 351.359543, 8.973854, 9.986389e+04, 2.966964e+01
4, 2000, 5, 2, 6, 19877900, 350.818616, 9.133947, 9.954248e+04, 2.862028e+01
4, 2000, 5, 2, 12, 9520374, 349.985881, 9.017503, 9.981447e+04, 2.245469e+01
4, 2000, 5, 2, 18, 15810737, 349.167799, 8.758433, 9.876617e+04, 3.510051e+01
4, 2000, 5, 3, 0, 6344219, 348.571821, 9.028993, 9.988629e+04, 2.289639e+01
4, 2000, 5, 3, 6, 1722094, 347.374086, 9.212447, 1.001115e+05, 2.219800e+01
4, 2000, 5, 3, 12, 566256, 346.301920, 9.257643, 1.002721e+05, 2.317625e+01
4, 2000, 5, 3, 18, 26127157, 345.522618, 9.414378, 1.003157e+05, 2.259788e+01
4, 2000, 5, 4, 0, 19871138, 344.722819, 9.875653, 1.005401e+05, 2.214337e+01
4, 2000, 5, 4, 6, 25148175, 343.632049, 10.217268, 1.003456e+05, 2.390727e+01
4, 2000, 5, 4, 12, 19879148, 342.558427, 10.771382, 1.002724e+05, 2.221667e+01
4, 2000, 5, 4, 18, 4400781, 341.492023, 11.034701, 9.991707e+04, 2.336340e+01
4, 2000, 5, 5, 0, 12434872, 340.601314, 11.333539, 9.980688e+04, 2.610299e+01
4, 2000, 5, 5, 6, 17550417, 339.772743, 11.465309, 9.950509e+04, 3.058645e+01
4, 2000, 5, 5, 12, 6929554, 338.635020, 11.653939, 9.996942e+04, 2.815739e+01
4, 2000, 5, 5, 18, 12433014, 337.471953, 11.830070, 1.000046e+05, 2.953915e+01
4, 2000, 5, 6, 0, 3949425, 336.889892, 11.975337, 9.991791e+04, 3.226332e+01
4, 2000, 5, 6, 6, 17545380, 335.464663, 11.856015, 1.005912e+05, 2.039703e+01
4, 2000, 5, 6, 12, 27622504, 334.453651, 11.930150, 1.007970e+05, 1.901254e+01
4, 2000, 5, 7, 0, 3168975, 332.401092, 11.439730, 1.008666e+05, 2.036650e+01
4, 2000, 5, 7, 6, 20053455, 331.303237, 11.380579, 1.007591e+05, 1.484845e+01
4, 2000, 5, 7, 12, 22652028, 330.154551, 11.305654, 1.009516e+05, 1.584261e+01
4, 2000, 5, 8, 0, 587456, 329.405007, 11.566262, 1.007558e+05, 1.921315e+01
4, 2000, 5, 8, 6, 4460028, 328.582852, 11.417472, 1.006973e+05, 1.787187e+01
4, 2000, 5, 8, 12, 26913588, 328.365012, 11.500547, 1.009070e+05, 1.883525e+01
4, 2000, 5, 8, 18, 28477262, 327.634548, 11.955789, 1.007266e+05, 1.366204e+01
4, 2000, 5, 9, 0, 11987131, 327.685217, 11.817567, 1.008383e+05, 1.787721e+01
4, 2000, 5, 9, 6, 2165740, 327.125933, 12.130986, 1.006495e+05, 1.769061e+01
4, 2000, 5, 9, 12, 6781880, 326.421631, 12.169279, 1.008016e+05, 1.660881e+01
4, 2000, 5, 9, 18, 2165700, 326.471776, 11.809562, 1.005105e+05, 1.645921e+01
4, 2000, 5, 10, 0, 6781880, 326.421631, 12.169279, 1.006209e+05, 1.668777e+01
4, 2000, 5, 10, 6, 2165554, 326.386227, 12.137871, 1.004761e+05, 1.980255e+01
4, 2000, 5, 10, 12, 17112383, 326.175332, 12.245061, 1.006151e+05, 1.728176e+01
4, 2000, 5, 10, 18, 17112305, 325.963891, 12.204266, 1.004509e+05, 1.629455e+01
4, 2000, 5, 11, 0, 2165469, 325.893202, 12.658318, 1.005312e+05, 1.794340e+01
